Year,Week,HC
2019,40,182
2019,41,188
2019,42,197
2019,43,198
2019,44,196
2019,45,196
2019,46,202
2019,47,199
2019,48,197
2019,49,200
2019,50,195
2019,51,187
2019,52,174
2020,1,179
2020,2,182
2020,3,187
2020,4,186
2020,5,184
2020,6,209
2020,7,223
2020,8,227
2020,9,227
2020,10,223
2020,11,215
2020,12,194
2020,13,169
2020,14,156
2020,15,141
2020,16,147
2020,17,171
2020,18,173
2020,19,185
2020,20,189
2020,21,189
2020,22,196
2020,23,195
2020,24,196
2020,25,197
2020,26,192
2020,27,185
2020,28,188
2020,29,183
2020,30,184
2020,31,179
2020,32,173
2020,33,165
2020,34,163
2020,35,158
2020,36,157
2020,37,156
2020,38,156
2020,39,150
2020,40,147
2020,41,143
2020,42,143
2020,43,143
2020,44,141
2020,45,147
2020,46,150
2020,47,149
2020,48,124
2020,49,141
2020,50,142
2020,51,134
2020,52,123
2020,53,122
2021,1,133
2021,2,132
2021,3,131
2021,4,133
2021,5,149
2021,6,150
2021,7,150
2021,8,165
2021,9,139
2021,10,138
2021,11,142
2021,12,129
2021,13,129
2021,14,125
2021,15,122
2021,16,120
2021,17,120
2021,18,127
2021,19,128
2021,20,126
2021,21,122
2021,22,117
2021,23,120
2021,24,119
2021,25,121
2021,26,123
2021,27,120
2021,28,118
2021,29,121
2021,30,120
2021,31,115
2021,32,115
2021,33,114
2021,34,112
2021,35,113
2021,36,111
2021,37,115
2021,38,117
2021,39,118
2021,40,117
2021,41,124
2021,42,122
2021,43,124
2021,44,121
2021,45,126
2021,46,180
2021,47,117
2021,48,120
