"id","company_id","license_id","created_on","deactivated_on","handbook_enabled","spanish_enabled"
"13630","3506757","50","1716961287539",,"1","0"
"13637","3506757","105","1716961287539",,"0","0"
"13644","3506714","50","1717046107618",,"1","0"
"13675","2269873","50","1717099562410",,"1","0"
"13650","3506760","50","1717046107832",,"1","0"
"13656","3506715","50","1717046108044",,"1","0"
"13682","3506748","50","1717103817092",,"1","0"
"13689","3506748","105","1717103817092",,"0","0"
"13694","3506741","50","1717103817348",,"1","0"
"13701","3506741","105","1717103817348",,"0","0"
"13754","3626708","50","1717306727317",,"1","0"
"13947","2406908","50","1719898277698",,"1","0"
"13970","3664612","50","1719898751017",,"1","0"
"13884","322782","105","1719551063386",,"0","0"
"13891","1703323","50","1719552254591",,"1","0"
"13758","3628062","50","1717306728515",,"1","0"
"13744","3621737","50","1717306725892",,"1","0"
"13751","3621737","105","1717306725892",,"0","0"
"13963","2406962","105","1719898333767",,"0","0"
"13985","183227","50","1719983525549",,"1","0"
"13992","183227","105","1719983525549",,"0","0"
"13794","3506749","105","1717740212634",,"0","0"
"13797","657277","50","1717772743007",,"1","0"
"14018","546719","105","1720502378983",,"0","0"
"13812","3680631","50","1718257110625",,"1","0"
"13817","3680634","50","1718257110802",,"1","0"
"13366","3506739","105","1715753047583",,"0","0"
"13393","3506747","50","1715753055841",,"1","0"
"13395","2503630","50","1715753056064",,"1","0"
"13370","3506743","50","1715753051043",,"1","0"
"13378","3506743","105","1715753051043",,"0","0"
"13382","3506745","50","1715753054045",,"1","0"
"13390","3506745","105","1715753054045",,"0","0"
"13391","3506746","50","1715753054904",,"1","0"
"13397","3506751","50","1715753063210",,"1","0"
"13399","3506770","50","1715753063535",,"1","0"
"13401","3506752","50","1715753064333",,"1","0"
"13431","3506759","50","1715753071469",,"1","0"
"13403","3506754","50","1715753065186",,"1","0"
"13434","3506766","50","1715753072841",,"1","0"
"13410","3506758","50","1715753069872",,"1","0"
"13440","3506783","50","1715753075267",,"1","0"
"13447","3506783","105","1715753075267",,"0","0"
"13450","3506789","50","1715753076595",,"1","0"
"13466","3506831","50","1715753081747",,"1","0"
"13474","3506831","105","1715753081747",,"0","0"
"13486","622291","50","1715838692545",,"1","0"
"13491","3506771","50","1715839756555",,"1","0"
"13498","3506771","105","1715839756555",,"0","0"
"2363","2269775","50","1687788647718",,"1","0"
"2365","2269776","50","1687788648066",,"1","0"
"2367","2269777","50","1687788648369",,"1","0"
"2369","2269778","50","1687788648701",,"1","0"
"2371","2269779","50","1687788649157",,"1","0"
"2375","2269780","50","1687788649472",,"1","0"
"2377","2269781","50","1687788649798",,"1","0"
"2379","2269782","50","1687788650133",,"1","0"
"2381","2269783","50","1687788650597",,"1","0"
"2383","2269784","50","1687788650904",,"1","0"
"2385","2269785","50","1687788651253",,"1","0"
"2387","2269786","50","1687788651588",,"1","0"
"2389","2269787","50","1687788651898",,"1","0"
"2391","2269788","50","1687788652277",,"1","0"
"2396","2269789","50","1687788652587",,"1","0"
"2398","2269790","50","1687788652947",,"1","0"
"2400","2269791","50","1687788653247",,"1","0"
"2402","2269792","50","1687788653599",,"1","0"
"2404","2269793","50","1687788654376",,"1","0"
"2409","2269794","50","1687788654725",,"1","0"
"2411","2269795","50","1687788655082",,"1","0"
"2413","2269797","50","1687788655390",,"1","0"
"2415","2269798","50","1687788655854",,"1","0"
"2419","2269800","50","1687788656538",,"1","0"
"2421","2269801","50","1687788656857",,"1","0"
"2426","2269802","50","1687788657154",,"1","0"
"2428","2269803","50","1687788658105",,"1","0"
"2433","2269804","50","1687788658421",,"1","0"
"2438","2269805","50","1687788658789",,"1","0"
"2440","2269806","50","1687788659109",,"1","0"
"2445","2269807","50","1687788659545",,"1","0"
"2447","2269808","50","1687788659899",,"1","0"
"2452","2269809","50","1687788660208",,"1","0"
"2454","2269810","50","1687788660927",,"1","0"
"2456","2269811","50","1687788661244",,"1","0"
"2458","2269812","50","1687788661533",,"1","0"
"2464","2269813","50","1687788661882",,"1","0"
"2466","2269814","50","1687788662215",,"1","0"
"2470","2269815","50","1687788662642",,"1","0"
"2472","2269816","50","1687788662954",,"1","0"
"2496","2269823","50","1687788665269",,"1","0"
"2504","2269826","50","1687788666306",,"1","0"
"2535","2269839","50","1687788671338",,"1","0"
"2474","2269817","50","1687788663361",,"1","0"
"2479","2269818","50","1687788663769",,"1","0"
"2484","2269819","50","1687788664102",,"1","0"
"2527","2269835","50","1687788670078",,"1","0"
"2537","2269840","50","1687788671749",,"1","0"
"2489","2269821","50","1687788664585",,"1","0"
"2494","2269822","50","1687788664940",,"1","0"
"2519","2269832","50","1687788668913",,"1","0"
"2533","2269838","50","1687788671050",,"1","0"
"2498","2269824","50","1687788665596",,"1","0"
"2500","2269825","50","1687788666015",,"1","0"
"2506","2269827","50","1687788666640",,"1","0"
"2529","2269836","50","1687788670379",,"1","0"
"2539","2269841","50","1687788672043",,"1","0"
"2508","2269828","50","1687788666974",,"1","0"
"2531","2269837","50","1687788670707",,"1","0"
"2510","2269829","50","1687788667390",,"1","0"
"2521","2269833","50","1687788669292",,"1","0"
