Volume IB,Actual AHT,Actual % SHR,Actual ABN calls,Actual ABN rate,Attrition ACT,Attrition % ACT,Calls per Hour,Workload,Productive Hrs
"83,332",163,25.10%,3243,3.90%,1,0.70%,15.9,"3,773","5,028"
"81,096",168,22.40%,2813,3.50%,0,0.00%,15.1,"3,784","5,184"
"105,739",176,25.40%,6085,5.80%,3,2.20%,19.5,"5,169","5,104"
"71,144",158,17.30%,1294,1.80%,0,0%,14.8,"3,113","4,718"
"78,237",192,20.50%,2795,3.60%,1,0.80%,15.2,"4,173","4,949"
"88,707",152,14.50%,2516,2.80%,2,1.70%,15.3,"3,745","5,647"
"82,714",164,19.30%,2788,3.40%,2,1.70%,14.7,"3,768","5,437"
"60,590",157,31.30%,1632,2.70%,4,3.00%,12.4,"2,642","4,741"
"57,680",158,48.70%,2545,4.40%,2,1.50%,15.1,"2,532","3,661"
"81,771",162,48.10%,6817,8.30%,2,1.50%,20.5,"3,680","3,664"
"76,185",185,18.10%,946,1.20%,2,1.40%,16.8,"3,915","4,478"
"69,346",162,16.60%,760,1.10%,1,1%,14.1,"3,121","4,861"
"65,639",155,15.60%,944,1.40%,3,3%,13.9,"2,828","4,654"
"73,265",193,17.20%,3092,4.20%,0,0.00%,15.6,"3,928","4,500"
"70,545",169,14.20%,701,1.00%,1,1%,13.4,"3,312","5,214"
"66,720",159,17.90%,692,1.00%,1,1%,13,"2,947","5,098"
"78,235",182,26.10%,1102,1.40%,2,1.30%,17.6,"3,955","4,391"
"75,999",174,15.40%,984,1.30%,4,3%,15.5,"3,673","4,845"
"68,112",169,13.60%,719,1.10%,1,1%,13.1,"3,197","5,143"
"39,702",217,22.20%,151,0.40%,2,1.70%,9,"2,391","4,410"
"68,250",164,19.10%,1254,1.80%,4,4%,13.7,"3,109","4,895"
"70,757",146,15.30%,1541,2.20%,0,0%,13.9,"2,871","4,977"
"66,909",141,19.00%,1157,1.70%,2,2%,14.2,"2,612","4,643"
"76,804",194,21.30%,5158,6.70%,0,0.00%,15,"4,139","4,788"
"70,268",142,13.30%,1293,1.80%,0,0%,13.6,"2,775","5,068"
"65,663",145,13.30%,1079,1.60%,2,2%,12.8,"2,646","5,053"
"70,712",147,16.10%,1326,1.90%,1,1%,14.5,"2,879","4,787"
"66,293",146,15.70%,866,1.30%,0,0%,13.2,"2,683","4,953"
"80,577",189,18.40%,1210,1.50%,2,1.40%,17.6,"4,230","4,502"
"78,603",187,10.00%,1424,1.80%,1,0.70%,12.9,"4,083","5,963"
"87,066",163,33.80%,6261,7.20%,2,1.40%,15.7,"3,942","5,138"
"56,337",187,20.40%,1092,1.90%,0,0.00%,10.7,"2,926","5,150"
"88,906",190,10.30%,2190,2.50%,2,1.40%,18,"4,692","4,810"
"70,600",149,15.50%,1828,2.60%,1,1%,14.1,"2,920","4,883"
"79,870",189,16.60%,2662,3.30%,0,0.00%,14.6,"4,193","5,273"
"66,440",177,10.30%,1071,1.60%,1,0.70%,10.9,"3,267","5,978"
"77,796",153,13.80%,1934,2.50%,0,0.00%,14.1,"3,306","5,377"
"70,982",155,15.00%,667,0.90%,2,2%,14.2,"3,056","4,969"
"79,590",187,12.10%,1187,1.50%,1,0.70%,16.2,"4,134","4,854"
"95,773",200,14.10%,2481,2.60%,2,1.40%,19.6,"5,321","4,755"
"55,154",205,27.80%,"3,075",5.60%,3,2.60%,12.7,"3,141","4,090"
"51,274",205,25.80%,"3,032",5.90%,0,0.00%,11.8,"2,925","4,073"
"49,518",206,23.50%,"2,517",5.10%,1,0.90%,11.2,"2,829","4,189"
"49,559",203,23.80%,"2,559",5.20%,0,0.00%,11.2,"2,793","4,184"
"47,862",201,24.90%,"2,529",5.30%,0,0.00%,11,"2,671","4,116"
"49,949",201,21.60%,"3,294",6.60%,1,0.90%,10.9,"2,760","4,259"
"45,573",202,20.70%,"2,140",4.70%,0,0.00%,10.4,"2,561","4,163"
"39,471",210,21.90%,155,0.40%,0,0.00%,9,"2,305","4,369"
"29,816",203,36.60%,96,0.30%,1,0.80%,8.2,"1,679","3,603"
